drug_id,input_drug_name,molecule_chembl_id,preferred_name,canonical_smiles,standard_inchikey,target_chembl_id,target_name,target_type,target_class,receptor_subtype,assay_chembl_id,assay_type,standard_type,standard_relation,standard_value,standard_units,pchembl_value,organism,document_chembl_id,reference,source,src_id,activity_id,record_id,api_retrieved_at,chembl_version
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2095167,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/gamma2,CHEMBL681621,F,GABA current,=,300.0,%,,Rattus norvegicus,CHEMBL1132818,CHEMBL1132818 Bioorg Med Chem Lett 2000,LITERATURE,1,389959,156747,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL681276,B,IC50,=,20.0,nM,7.7,Rattus norvegicus,CHEMBL1132818,CHEMBL1132818 Bioorg Med Chem Lett 2000,LITERATURE,1,389960,156747,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL681277,B,IC50,=,20.0,nM,7.7,Rattus norvegicus,CHEMBL1132818,CHEMBL1132818 Bioorg Med Chem Lett 2000,LITERATURE,1,389961,156747,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL650875,B,IC50,=,5.4,nM,8.27,Rattus norvegicus,CHEMBL1122391,CHEMBL1122391 J Med Chem 1983,LITERATURE,1,422598,66776,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL650821,B,Ki,=,10.0,nM,8.0,Bos taurus,CHEMBL1132244,CHEMBL1132244 J Med Chem 1999,LITERATURE,1,434675,125908,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2094107,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL842877,B,GR,=,1.5,,,Bos taurus,CHEMBL1132244,CHEMBL1132244 J Med Chem 1999,LITERATURE,1,434676,125908,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,generic_gabaa_target,,CHEMBL652730,B,IC50,=,6.0,nM,8.22,Rattus norvegicus,CHEMBL1124933,CHEMBL1124933 J Med Chem 1990,LITERATURE,1,441406,106863,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/gamma2,CHEMBL677847,B,Ki,=,12.0,nM,7.92,Homo sapiens,CHEMBL1133060,CHEMBL1133060 Bioorg Med Chem Lett 2000,LITERATURE,1,442386,43833,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2094130,GABA-A receptor; alpha-2/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha2/beta3/gamma2,CHEMBL682708,B,Ki,=,6.6,nM,8.18,Homo sapiens,CHEMBL1133060,CHEMBL1133060 Bioorg Med Chem Lett 2000,LITERATURE,1,442387,43833,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2094120,GABA-A receptor; alpha-3/beta-3/gamma-2,PROTEIN COMPLEX,composite_target,alpha3/beta3/gamma2,CHEMBL680431,B,Ki,=,33.0,nM,7.48,Homo sapiens,CHEMBL1133060,CHEMBL1133060 Bioorg Med Chem Lett 2000,LITERATURE,1,442388,43833,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
diazepam,Diazepam,CHEMBL12,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,composite_target,alpha1/beta2/gamma2,CHEMBL679559,F,Efficacy,=,157.0,%,,Homo sapiens,CHEMBL1133060,CHEMBL1133060 Bioorg Med Chem Lett 2000,LITERATURE,1,442389,43833,2026-09-17T02:17:48.329450+00:00,ChEMBL_37
