evidence_id,drug_id,input_drug_name,molecule_chembl_id,gtopdb_ligand_id,receptor_composition,target_id,target_name,target_type,species,metric,value,value_low,value_high,unit,assay,reference_id,PMID,DOI,reference,source_database,source_record_id,alpha_subtype,beta_subtype,gamma_subtype,other_subunits,duplicate_group_id,duplicate_candidate
chembl:50,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,5.02,,,nM,CHEMBL650464,CHEMBL1123687,,,CHEMBL1123687 J Med Chem 1987,ChEMBL,501148,,,,,,False
chembl:51,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,77.0,,,nM,CHEMBL652372,CHEMBL1124349,,,CHEMBL1124349 J Med Chem 1989,ChEMBL,505655,,,,,,False
chembl:52,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GABA shift,3.07,,,,CHEMBL841641,CHEMBL1124349,,,CHEMBL1124349 J Med Chem 1989,ChEMBL,505656,,,,,,False
chembl:53,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,5.0,,,nM,CHEMBL650084,CHEMBL1122030,,,CHEMBL1122030 J Med Chem 1982,ChEMBL,507139,,,,,,False
chembl:54,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,ID50,0.91,,,mg.kg-1,CHEMBL650085,CHEMBL1122030,,,CHEMBL1122030 J Med Chem 1982,ChEMBL,507140,,,,,,False
chembl:55,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,ID50,5.0,,,mg.kg-1,CHEMBL650087,CHEMBL1122030,,,CHEMBL1122030 J Med Chem 1982,ChEMBL,507141,,,,,,False
chembl:56,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,5.0,,,nM,CHEMBL653110,CHEMBL1129239,,,CHEMBL1129239 J Med Chem 1996,ChEMBL,534900,,,,,,False
chembl:57,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,28.0,,,nM,CHEMBL681237,CHEMBL1149939,,,CHEMBL1149939 Bioorg Med Chem Lett 1996,ChEMBL,548914,,,,,,False
chembl:58,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,13.0,,,nM,CHEMBL681238,CHEMBL1149939,,,CHEMBL1149939 Bioorg Med Chem Lett 1996,ChEMBL,548915,,,,,,False
chembl:59,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,GABA shift,2.2,,,,CHEMBL845316,CHEMBL1149939,,,CHEMBL1149939 Bioorg Med Chem Lett 1996,ChEMBL,548924,,,,,,False
