evidence_id,drug_id,input_drug_name,molecule_chembl_id,gtopdb_ligand_id,receptor_composition,target_id,target_name,target_type,species,metric,value,value_low,value_high,unit,assay,reference_id,PMID,DOI,reference,source_database,source_record_id,alpha_subtype,beta_subtype,gamma_subtype,other_subunits,duplicate_group_id,duplicate_candidate
chembl:18,diazepam,Diazepam,CHEMBL12,,alpha6/beta2/gamma2,CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,98.0,,,nM,CHEMBL824044,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320292,alpha6,beta2,gamma2,,,False
chembl:19,diazepam,Diazepam,CHEMBL12,,alpha6/beta2/gamma2,CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,20.0,,,nM,CHEMBL824046,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320293,alpha6,beta2,gamma2,,,False
chembl:20,diazepam,Diazepam,CHEMBL12,,alpha6/beta2/gamma2,CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,9.0,,,nM,CHEMBL824047,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320294,alpha6,beta2,gamma2,,,False
chembl:21,diazepam,Diazepam,CHEMBL12,,alpha6/beta2/gamma2,CHEMBL2111365,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Rattus norvegicus,Ki,2.1,,,nM,CHEMBL824049,CHEMBL1127312,,,CHEMBL1127312 J Med Chem 1994,ChEMBL,320295,alpha6,beta2,gamma2,,,False
chembl:22,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,Ki,4.9,,,nM,CHEMBL680658,CHEMBL1129282,,,CHEMBL1129282 J Med Chem 1996,ChEMBL,351488,,,,,,False
chembl:23,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,[35S] TBPS shift,1.0,,,,CHEMBL685373,CHEMBL1129282,,,CHEMBL1129282 J Med Chem 1996,ChEMBL,351489,,,,,,False
chembl:24,diazepam,Diazepam,CHEMBL12,,alpha1/beta2/gamma2,CHEMBL2095172,GABA-A receptor; alpha-1/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,13.0,,,nM,CHEMBL677024,CHEMBL1129282,,,CHEMBL1129282 J Med Chem 1996,ChEMBL,351492,alpha1,beta2,gamma2,,,False
chembl:25,diazepam,Diazepam,CHEMBL12,,alpha3/beta2/gamma2,CHEMBL2111339,GABA A receptor alpha-3/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,10.0,,,nM,CHEMBL683022,CHEMBL1129282,,,CHEMBL1129282 J Med Chem 1996,ChEMBL,351493,alpha3,beta2,gamma2,,,False
chembl:26,diazepam,Diazepam,CHEMBL12,,alpha6/beta2/gamma2,CHEMBL2111370,GABA A receptor alpha-6/beta-2/gamma-2,PROTEIN COMPLEX,Homo sapiens,Ki,7000.0,,,nM,CHEMBL685347,CHEMBL1129282,,,CHEMBL1129282 J Med Chem 1996,ChEMBL,351494,alpha6,beta2,gamma2,,,False
chembl:27,diazepam,Diazepam,CHEMBL12,,generic_gabaa,CHEMBL1907607,GABA-A receptor; anion channel,PROTEIN COMPLEX GROUP,Rattus norvegicus,IC50,6.0,,,nM,CHEMBL652732,CHEMBL1125133,,,CHEMBL1125133 J Med Chem 1990,ChEMBL,357786,,,,,,False
