drug,receptor_block,seed,source_file,snapshot_file,sha256,docking_manifest_sha256,archive_member_sha256,n_models,n_result_records,n_valid_records,expected_n_poses,n_issues,file_status
alprazolam,alpha1,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091901/poses.pdbqt,data/pdbqt/alprazolam/alpha1/2026091901/poses.pdbqt,7bc901d1e6595a0e248bd397d8072eac2dcc43dbd226effb907eab33d12aeb51,7bc901d1e6595a0e248bd397d8072eac2dcc43dbd226effb907eab33d12aeb51,7bc901d1e6595a0e248bd397d8072eac2dcc43dbd226effb907eab33d12aeb51,8,8,8,8,0,ok
alprazolam,alpha1,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091902/poses.pdbqt,data/pdbqt/alprazolam/alpha1/2026091902/poses.pdbqt,72bd3baa3b4e3a6a5c9b6229bd8564734a57e04e288de2b7d74bf243fe23565a,72bd3baa3b4e3a6a5c9b6229bd8564734a57e04e288de2b7d74bf243fe23565a,72bd3baa3b4e3a6a5c9b6229bd8564734a57e04e288de2b7d74bf243fe23565a,7,7,7,7,0,ok
alprazolam,alpha1,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091903/poses.pdbqt,data/pdbqt/alprazolam/alpha1/2026091903/poses.pdbqt,dc4215ffe0db0cc701055ae9748d016aecb7873d8d94ea4ba2db849c3f2e69db,dc4215ffe0db0cc701055ae9748d016aecb7873d8d94ea4ba2db849c3f2e69db,dc4215ffe0db0cc701055ae9748d016aecb7873d8d94ea4ba2db849c3f2e69db,7,7,7,7,0,ok
alprazolam,alpha1,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091904/poses.pdbqt,data/pdbqt/alprazolam/alpha1/2026091904/poses.pdbqt,3cfcfa96923c0bec92473fbbdcf556f36d4bd14d76e32a2eef93b3ed1613ec59,3cfcfa96923c0bec92473fbbdcf556f36d4bd14d76e32a2eef93b3ed1613ec59,3cfcfa96923c0bec92473fbbdcf556f36d4bd14d76e32a2eef93b3ed1613ec59,7,7,7,7,0,ok
alprazolam,alpha1,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha1/2026091905/poses.pdbqt,data/pdbqt/alprazolam/alpha1/2026091905/poses.pdbqt,33740d5ea2008baf15b457aafeceb6505e5cdece6a39dddee436f03030eac56b,33740d5ea2008baf15b457aafeceb6505e5cdece6a39dddee436f03030eac56b,33740d5ea2008baf15b457aafeceb6505e5cdece6a39dddee436f03030eac56b,6,6,6,6,0,ok
alprazolam,alpha2,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091901/poses.pdbqt,data/pdbqt/alprazolam/alpha2/2026091901/poses.pdbqt,be0fe43e7f8bc9bd8c126ac03da4d29c64ced4dfaea475a4ce452f1db7d9e3e2,be0fe43e7f8bc9bd8c126ac03da4d29c64ced4dfaea475a4ce452f1db7d9e3e2,be0fe43e7f8bc9bd8c126ac03da4d29c64ced4dfaea475a4ce452f1db7d9e3e2,9,9,9,9,0,ok
alprazolam,alpha2,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091902/poses.pdbqt,data/pdbqt/alprazolam/alpha2/2026091902/poses.pdbqt,9928e190504effcddd51e89048ddb7af1e427691372f882e9b7b11fb820da508,9928e190504effcddd51e89048ddb7af1e427691372f882e9b7b11fb820da508,9928e190504effcddd51e89048ddb7af1e427691372f882e9b7b11fb820da508,9,9,9,9,0,ok
alprazolam,alpha2,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091903/poses.pdbqt,data/pdbqt/alprazolam/alpha2/2026091903/poses.pdbqt,f67118db3429943013f15cff2f325e1c26621608e92782d081f725709e9019df,f67118db3429943013f15cff2f325e1c26621608e92782d081f725709e9019df,f67118db3429943013f15cff2f325e1c26621608e92782d081f725709e9019df,9,9,9,9,0,ok
alprazolam,alpha2,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091904/poses.pdbqt,data/pdbqt/alprazolam/alpha2/2026091904/poses.pdbqt,563c1c0db171132c526037d6774a926bde6e7e0afa09844249df8db5c6463c34,563c1c0db171132c526037d6774a926bde6e7e0afa09844249df8db5c6463c34,563c1c0db171132c526037d6774a926bde6e7e0afa09844249df8db5c6463c34,9,9,9,9,0,ok
alprazolam,alpha2,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/alprazolam.tar.gz::alprazolam/alpha2/2026091905/poses.pdbqt,data/pdbqt/alprazolam/alpha2/2026091905/poses.pdbqt,24990ab35ac4148e61b9f1054811e1958e88ca87c7ec4b646d3c2eeb7f833abc,24990ab35ac4148e61b9f1054811e1958e88ca87c7ec4b646d3c2eeb7f833abc,24990ab35ac4148e61b9f1054811e1958e88ca87c7ec4b646d3c2eeb7f833abc,9,9,9,9,0,ok
triazolam,alpha1,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091901/poses.pdbqt,data/pdbqt/triazolam/alpha1/2026091901/poses.pdbqt,6b70a5239ec8a8955987cbbd58e5518ef52a4ce0cff4de84728219f4ab0a1bc7,6b70a5239ec8a8955987cbbd58e5518ef52a4ce0cff4de84728219f4ab0a1bc7,6b70a5239ec8a8955987cbbd58e5518ef52a4ce0cff4de84728219f4ab0a1bc7,9,9,9,9,0,ok
triazolam,alpha1,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091902/poses.pdbqt,data/pdbqt/triazolam/alpha1/2026091902/poses.pdbqt,f0a43b352acf35cf65740742a33b27ff2da367104cec48f246b5b9ea65748911,f0a43b352acf35cf65740742a33b27ff2da367104cec48f246b5b9ea65748911,f0a43b352acf35cf65740742a33b27ff2da367104cec48f246b5b9ea65748911,8,8,8,8,0,ok
triazolam,alpha1,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091903/poses.pdbqt,data/pdbqt/triazolam/alpha1/2026091903/poses.pdbqt,ffe1ef8702dfd7a66fddeed924b042ae1d5357b3b8c40820348341217cbdbe51,ffe1ef8702dfd7a66fddeed924b042ae1d5357b3b8c40820348341217cbdbe51,ffe1ef8702dfd7a66fddeed924b042ae1d5357b3b8c40820348341217cbdbe51,8,8,8,8,0,ok
triazolam,alpha1,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091904/poses.pdbqt,data/pdbqt/triazolam/alpha1/2026091904/poses.pdbqt,e41b64461842d6850a1ac041d85a7332a1da8307f689f2310463ec0a0ac454f4,e41b64461842d6850a1ac041d85a7332a1da8307f689f2310463ec0a0ac454f4,e41b64461842d6850a1ac041d85a7332a1da8307f689f2310463ec0a0ac454f4,9,9,9,9,0,ok
triazolam,alpha1,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha1/2026091905/poses.pdbqt,data/pdbqt/triazolam/alpha1/2026091905/poses.pdbqt,220ad5d1a532320add01f42aab473ec3ca6df21d60d22ca21901b2c35f3e4902,220ad5d1a532320add01f42aab473ec3ca6df21d60d22ca21901b2c35f3e4902,220ad5d1a532320add01f42aab473ec3ca6df21d60d22ca21901b2c35f3e4902,6,6,6,6,0,ok
triazolam,alpha2,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091901/poses.pdbqt,data/pdbqt/triazolam/alpha2/2026091901/poses.pdbqt,b21084a7dcaa60b65101bb94f0a4b44f9dc3a84edf2b127d1b6d2f196bfce02f,b21084a7dcaa60b65101bb94f0a4b44f9dc3a84edf2b127d1b6d2f196bfce02f,b21084a7dcaa60b65101bb94f0a4b44f9dc3a84edf2b127d1b6d2f196bfce02f,9,9,9,9,0,ok
triazolam,alpha2,2026091902,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091902/poses.pdbqt,data/pdbqt/triazolam/alpha2/2026091902/poses.pdbqt,7e918c466723a85ee43fce3c756dc8a9385272207b183958791337ca08f83bca,7e918c466723a85ee43fce3c756dc8a9385272207b183958791337ca08f83bca,7e918c466723a85ee43fce3c756dc8a9385272207b183958791337ca08f83bca,9,9,9,9,0,ok
triazolam,alpha2,2026091903,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091903/poses.pdbqt,data/pdbqt/triazolam/alpha2/2026091903/poses.pdbqt,3206a8933b78a207e05618f24de340fcb88d3eadad72585b703dd9ca00e8bf82,3206a8933b78a207e05618f24de340fcb88d3eadad72585b703dd9ca00e8bf82,3206a8933b78a207e05618f24de340fcb88d3eadad72585b703dd9ca00e8bf82,9,9,9,9,0,ok
triazolam,alpha2,2026091904,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091904/poses.pdbqt,data/pdbqt/triazolam/alpha2/2026091904/poses.pdbqt,8b2c066335eb605da2ea9db30fd56e3b75d350c6a1a0bd203196e32331f92b99,8b2c066335eb605da2ea9db30fd56e3b75d350c6a1a0bd203196e32331f92b99,8b2c066335eb605da2ea9db30fd56e3b75d350c6a1a0bd203196e32331f92b99,9,9,9,9,0,ok
triazolam,alpha2,2026091905,runs/20260919_0724_10drug_standardized_redocking/raw/archives/triazolam.tar.gz::triazolam/alpha2/2026091905/poses.pdbqt,data/pdbqt/triazolam/alpha2/2026091905/poses.pdbqt,57d51779b10014fd90c3910bf5947335906bf91847ef875c9059c5953cd17520,57d51779b10014fd90c3910bf5947335906bf91847ef875c9059c5953cd17520,57d51779b10014fd90c3910bf5947335906bf91847ef875c9059c5953cd17520,9,9,9,9,0,ok
zolpidem,alpha1,2026091901,runs/20260919_0724_10drug_standardized_redocking/raw/archives/zolpidem.tar.gz::zolpidem/alpha1/2026091901/poses.pdbqt,data/pdbqt/zolpidem/alpha1/2026091901/poses.pdbqt,302a90ff41dc12901a7890576e5a4d49c56a2f47c74a8dfe01876255b745db4e,302a90ff41dc12901a7890576e5a4d49c56a2f47c74a8dfe01876255b745db4e,302a90ff41dc12901a7890576e5a4d49c56a2f47c74a8dfe01876255b745db4e,9,9,9,9,0,ok
