drug_id,input_drug_name,molecule_chembl_id,target_alpha1_chembl_id,target_alpha2_chembl_id,alpha1_assay_chembl_id,alpha2_assay_chembl_id,alpha1_document_chembl_id,alpha2_document_chembl_id,same_document,same_standard_type,same_unit,pair_priority,pair_basis,standard_type,alpha1_standard_relation,alpha2_standard_relation,alpha1_standard_value,alpha2_standard_value,standard_units,alpha1_pchembl_value,alpha2_pchembl_value,ki_alpha2_over_alpha1,chembl_version,api_retrieved_at,pair_rank
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL829005,CHEMBL1149444,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,61
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL864003,CHEMBL1149444,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,6.6,nM,7.89,8.18,0.5076923076923077,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,62
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL919088,CHEMBL1149444,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,20.0,nM,7.89,7.7,1.5384615384615385,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,63
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL853068,CHEMBL6080338,CHEMBL1149444,CHEMBL6078658,False,True,True,2,same_standard_type_unit,Ki,=,=,13.0,22.0,nM,7.89,7.66,1.6923076923076923,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,64
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL682708,CHEMBL6078658,CHEMBL1133060,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,6.6,nM,7.51,8.18,0.2129032258064516,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,65
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL681248,CHEMBL6078658,CHEMBL1132940,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,20.0,nM,7.51,7.7,0.6451612903225806,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,66
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL681841,CHEMBL6078658,CHEMBL1149126,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,20.0,nM,7.51,7.7,0.6451612903225806,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,67
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL682709,CHEMBL6078658,CHEMBL1148356,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,26.2,nM,7.51,7.58,0.8451612903225806,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,68
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL829005,CHEMBL6078658,CHEMBL1142695,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,6.6,nM,7.51,8.18,0.2129032258064516,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,69
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL864003,CHEMBL6078658,CHEMBL1148587,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,6.6,nM,7.51,8.18,0.2129032258064516,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,70
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL853070,CHEMBL6078658,CHEMBL1149444,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,33.0,nM,7.51,7.48,1.064516129032258,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,71
diazepam,Diazepam,CHEMBL12,CHEMBL2094121,CHEMBL2094130,CHEMBL6080337,CHEMBL919088,CHEMBL6078658,CHEMBL1139460,False,True,True,2,same_standard_type_unit,Ki,=,=,31.0,20.0,nM,7.51,7.7,0.6451612903225806,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,72
triazolam,Triazolam,CHEMBL646,CHEMBL2094121,CHEMBL2094130,CHEMBL678329,CHEMBL681248,CHEMBL1132940,CHEMBL1132940,True,True,True,1,same_document_standard_type_unit,Ki,=,=,0.8,0.59,nM,9.1,9.23,0.7374999999999999,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,1
zolpidem,Zolpidem,CHEMBL911,CHEMBL2094121,CHEMBL2094130,CHEMBL822162,CHEMBL824294,CHEMBL1131013,CHEMBL1131013,True,True,True,1,same_document_standard_type_unit,Ki,=,=,26.7,156.0,nM,7.57,6.81,5.842696629213483,ChEMBL_37,2026-09-17T02:17:48.329450+00:00,1
