structural_feature,clinical_term,secondary,spearman_rho,n_effective,status,included_drugs,excluded_drugs
F48,Balance disorder,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
F48,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
F48,Gait disturbance,True,NA,4,constant_input,diazepam;triazolam;brotizolam;lormetazepam,
alpha1_Vina_favorability,Ataxia,True,0.0,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
alpha1_Vina_favorability,Balance disorder,True,-0.6000000000000001,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
alpha1_Vina_favorability,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
alpha1_Vina_favorability,Gait disturbance,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
alpha2_Vina_favorability,Ataxia,True,0.19999999999999998,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
alpha2_Vina_favorability,Balance disorder,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
alpha2_Vina_favorability,Coordination abnormal,True,NA,2,insufficient_clinical_coverage_n_lt_3,diazepam;lormetazepam,triazolam;brotizolam
alpha2_Vina_favorability,Gait disturbance,True,0.39999999999999997,4,complete_four_drug,diazepam;triazolam;brotizolam;lormetazepam,
